id_filma,zanr
0059674,romance
0061184,drama
0059894,drama
0059894,war
0060665,biography
0060665,drama
0060665,history
0060802,comedy
0060802,drama
0060802,romance
0061138,drama
0061138,romance
0060472,drama
0060472,sport
0060424,comedy
0060424,romance
0060182,adventure
0060182,biography
0060182,drama
0060397,adventure
0060397,sci-fi
0060438,comedy
0060438,musical
0061512,crime
0061512,drama
0061722,comedy
0061722,drama
0061722,romance
0061811,drama
0061811,mystery
0061811,thriller
0061735,comedy
0061735,drama
0061418,action
0061418,biography
0061418,crime
0061578,action
0061578,adventure
0061578,war
0063462,comedy
0063462,music
0062362,comedy
0062362,musical
0062362,romance
0062244,documentary
0062244,history
0062244,war
0061439,adventure
0061439,comedy
0061439,drama
0061584,adventure
0061584,comedy
0061584,family
0062622,adventure
0062622,sci-fi
0063442,adventure
0063442,sci-fi
0063522,drama
0063522,horror
0063227,biography
0063227,drama
0063227,history
0063518,drama
0063518,romance
0063385,drama
0063385,family
0063385,musical
0062765,action
0062765,crime
0062765,thriller
0062994,biography
0062994,comedy
0062994,drama
0063654,drama
0063688,crime
0063688,drama
0063688,romance
0062794,drama
0062794,romance
0062794,sci-fi
0065234,crime
0065234,drama
0065234,thriller
0064115,biography
0064115,crime
0064115,drama
0064665,drama
0065088,drama
0064840,comedy
0064840,drama
0064840,romance
0065126,adventure
0065126,drama
0065126,western
0064030,biography
0064030,drama
0064030,history
0064117,comedy
0064117,romance
0066579,drama
0066579,romance
0064418,adventure
0064418,comedy
0064418,musical
0064043,documentary
0064043,biography
0064043,music
0063160,documentary
0064639,adventure
0064639,drama
0064639,sci-fi
0066580,documentary
0066580,history
0066580,music
0065889,crime
0065889,drama
0066206,biography
0066206,drama
0066206,war
0065976,documentary
0065976,music
0066473,action
0066473,drama
0066473,history
0066026,comedy
0066026,drama
0066026,war
0066319,drama
0066319,romance
0065777,drama
0065777,history
0065777,war
0065593,biography
0065593,drama
0065593,history
0066011,drama
0066011,romance
0065377,action
0065377,drama
0065377,thriller
0066016,comedy
0067328,drama
0067328,romance
0067093,drama
0067093,family
0067093,musical
0067116,action
0067116,crime
0067116,drama
0067197,documentary
0067197,drama
0067803,drama
0067803,romance
0067483,biography
0067483,drama
0067483,history
0067309,crime
0067309,mystery
0067309,thriller
0067217,comedy
0067217,drama
0067217,mystery
0066817,animation
0066817,adventure
0066817,comedy
0067741,action
0067741,crime
0067741,thriller
0068646,crime
0068646,drama
0069467,drama
0068327,drama
0068327,music
0068327,musical
0068361,comedy
0068361,drama
0068361,fantasy
0068924,documentary
0068924,biography
0068326,comedy
0068326,drama
0068326,music
0069113,action
0069113,adventure
0069113,drama
0068334,comedy
0068334,drama
0069404,adventure
0069404,comedy
0070735,comedy
0070735,crime
0070735,drama
0070047,horror
0070510,comedy
0070510,crime
0070510,drama
0070460,comedy
0070460,drama
0070460,romance
0071129,comedy
0071129,drama
0070509,comedy
0070509,drama
0070903,drama
0070903,romance
0070640,drama
0070819,comedy
0070819,romance
0071562,crime
0071562,drama
0071604,documentary
0071604,history
0071604,war
0071315,drama
0071315,mystery
0071315,thriller
0071598,adventure
