id,ime
0758151,John Salew
0357418,Arthur Hambling
0572324,Gibb McLaughlin
0339992,John Gregson
0607948,Clive Morton
0846407,Sydney Tafler
0121783,Marie Burke
0000030,Audrey Hepburn
0289302,William Fox
0873985,Michael Trubshawe
0373553,Ann Heffernan
0187769,Charles Crichton
0000037,Gene Kelly
0001989,Leslie Caron
0505157,Oscar Levant
0350250,Georges Guétary
0001225,Nina Foch
0024740,Robert Ames
0026913,Joan Anderson
0028759,Marie Antoinette Andrews
0036530,Larry Arnold
0051377,Martha Bamattre
3576722,Felice Basso
0060528,Charles Bastin
1060636,Joan Bayley
3576599,Janine Bergez
0081280,Rodney Bieber
0086636,Madge Blake
0089698,Ralph Blum
0090197,Nan Boardman
0591486,Vincente Minnelli
0220566,Richard Derr
0750640,Barbara Rush
0361048,Peter Hansen
0398466,John Hoyt
0444122,Larry Keating
0024720,Rachel Ames
0153679,Stephen Chase
0128326,Frank Cady
0740718,Hayden Rorke
0317637,Sandro Giglio
0001906,Kirk Alyn
0063038,Mary Bayless
0096618,Nina Borget
0152504,Robert Chapman
0172321,Gene Collins
0174607,James Congdon
0005789,Rudolph Maté
0487292,Mario Lanza
0001955,Ann Blyth
0457025,Dorothy Kirsten
0637229,Jarmila Novotna
0006119,Richard Hageman
0717203,Carl Benton Reid
0291829,Eduard Franz
0232213,Ludwig Donath
0621002,Alan Napier
0433439,Pál Jávor
0589594,Carl Milletaire
0579684,Shepard Menken
0719710,Vincent Renno
0656980,Nestor Paiva
0697094,Peter Price
0797974,Mario Siletti
0164650,Angela Clarke
0938052,Ian Wolfe
0861703,Richard Thorpe
0001078,Bing Crosby
0943837,Jane Wyman
0807252,Alexis Smith
0867144,Franchot Tone
0059165,James Barton
0445290,Robert Keith
0312643,Jacques Gencel
0913340,Beverly Washburn
0431445,Nicholas Joy
0318349,Connie Gilchrist
0146185,Walter Catlett
0179289,Ellen Corby
0715284,Alan Reed
0121707,James Burke
0326809,Minna Gombell
0045784,Irving Bacon
0001008,Frank Capra
0000011,Gary Cooper
0000038,Grace Kelly
0593775,Thomas Mitchell
0000978,Lloyd Bridges
0432827,Katy Jurado
0472603,Otto Kruger
0001033,Lon Chaney Jr.
0604702,Harry Morgan
0531756,Ian MacDonald
0574670,Eve McVeagh
0267670,Morgan Farley
0788288,Harry Shannon
0001812,Lee Van Cleef
0929057,Robert J. Wilke
0941125,Sheb Wooley
0007342,Lee Aaker
5280431,Ernest Baldwin
0051618,Benjie Bancroft
0003593,Fred Zinnemann
0000122,Charles Chaplin
0001954,Claire Bloom
0115558,Nigel Bruce
0152261,Sydney Chaplin
0516093,Norman Lloyd
0251063,Andre Eglevsky
0370781,Melissa Hayden
0071913,Marjorie Bennett
0238725,Wheeler Dryden
0076150,Barry Bernard
0448852,Stapleton Kent
0322728,Molly Glessing
0610950,Leonard Mudie
0881022,Loyal Underwood
0689444,&#x27;Snub&#x27; Pollard
0525021,Julian Ludwig
6243154,Billy Lee Aimone
0693560,Georges Poujouly
0287637,Brigitte Fossey
0025523,Amédée
0046133,Laurence Badie
0053884,Madeleine Barbulée
0183790,Suzanne Courtal
0399471,Lucien Hubert
0547462,Jacques Marin
0581142,Marcel Mérovée
0598368,Violette Monnier
0702446,Denise Péronne
0747016,Fernande Roy
0756788,Louis Saintève
0913607,André Wasley
0256709,André Enard
5541840,Marcelle Feuillade
8217543,Roger Fossey
0378589,Louis Herbert
0167496,René Clément
0001805,Lana Turner
0000018,Kirk Douglas
0682074,Walter Pidgeon
0694090,Dick Powell
0837959,Barry Sullivan
0002108,Gloria Grahame
0738042,Gilbert Roland
0001991,Leo G. Carroll
0114847,Vanessa Brown
0829717,Paul Stewart
0925429,Sammy White
0829359,Elaine Stewart
0872683,Ivan Triesault
0012175,Jay Adler
0003224,Stanley Andrews
0035680,Del Armstrong
0039954,Ben Astar
0082511,Barbara Billingsley
0000078,John Wayne
0000058,Maureen O&#x27;Hara
0280178,Barry Fitzgerald
0000955,Ward Bond
0572142,Victor McLaglen
0622450,Mildred Natwick
0285643,Francis Ford
0189618,Eileen Crowe
0185953,May Craig
0793168,Arthur Shields
0280649,Charles B. Fitzsimons
0510181,James O&#x27;Hara
0565887,Sean McClory
0532290,Jack MacGowran
0640620,Joseph O&#x27;Dea
0331064,Eric Gorman
0492514,Kevin Lawless
0640823,Paddy O&#x27;Donnell
0000406,John Ford
0000044,Burt Lancaster
0095804,Shirley Booth
0601930,Terry Moore
0001395,Richard Jaeckel
0643211,Philip Ober
0561487,Edwin Max
0326589,Lisa Golm
0446011,Walter Kelley
0298333,Robert Fuller
0321982,Ned Glass
0351744,William Haade
0356198,Virginia Hall
0423460,Anthony Jochim
0498608,Peter Leeds
0570468,Kitty McHugh
0574707,Paul McVey
0600563,Beverly Mook
0612062,Virginia Mullen
0542702,Daniel Mann
0676492,Jean Peters
0000063,Anthony Quinn
0936476,Joseph Wiseman
0608909,Arnold Moss
0546712,Margo
0330241,Harold Gordon
0318153,Lou Gilbert
