id_filma,zanr
0049833,Desert Adventure
0049833,Epic
0049833,Period Drama
0049833,Adventure
0049833,Drama
0049833,Family
0049833,History
0049261,Epic
0049261,Western Epic
0049261,Drama
0049261,Western
0049470,Conspiracy Thriller
0049470,Political Thriller
0049470,Spy
0049470,Crime
0049470,Drama
0049470,Mystery
0049470,Thriller
0048960,Adventure Epic
0048960,Globetrotting Adventure
0048960,Adventure
0048960,Comedy
0048960,Family
0048960,Romance
0049408,Classic Musical
0049408,Period Drama
0049408,Biography
0049408,Drama
0049408,Musical
0049408,Romance
0049456,Docudrama
0049456,Biography
0049456,Drama
0049966,Drama
0049778,Biography
0049778,Drama
0049778,Sport
0048947,Biography
0048947,Drama
0048947,History
0048947,Romance
0048980,Comedy
0048980,Drama
0048980,Family
0048980,Fantasy
0048980,Short
0049777,Satire
0049777,Comedy
0049777,Romance
0049518,Adventure
0049518,Documentary
0049030,Drama
0049030,Family
0049510,Animation
0049510,Comedy
0049510,Family
0049510,Short
0049102,Biography
0049102,Documentary
0049102,Short
0049102,Sport
0048049,Documentary
0048049,Short
0050212,Jungle Adventure
0050212,War Epic
0050212,Adventure
0050212,Drama
0050212,War
0050783,Tragedy
0050783,Drama
0050356,Sea Adventure
0050356,Action
0050356,Adventure
0050356,Drama
0050356,Thriller
0050356,War
0050933,Period Drama
0050933,Drama
0050933,Romance
0051077,Drama
0051077,Mystery
0050306,Farce
0050306,Romantic Comedy
0050306,Comedy
0050306,Romance
0050631,Comedy
0050631,Musical
0050569,Biography
0050569,Drama
0050569,Musical
0050194,Adventure
0050194,Animation
0050194,Comedy
0050194,Family
0050194,Short
0050109,Biography
0050109,Documentary
0050109,History
0051187,Family
0051187,Short
0049885,Documentary
0049885,Short
0052225,Classic Musical
0052225,Period Drama
0052225,Drama
0052225,Musical
0052225,Romance
0052225,War
0051411,Classical Western
0051411,Epic
0051411,Western Epic
0051411,Drama
0051411,Romance
0051411,Western
0052182,Drama
0052182,Romance
0051658,Classic Musical
0051658,Comedy
0051658,Musical
0051658,Romance
0051525,Caper
0051525,Prison Drama
0051525,Crime
0051525,Drama
0050706,Satire
0050706,Slapstick
0050706,Comedy
0051758,Film Noir
0051758,True Crime
0051758,Biography
0051758,Crime
0051758,Drama
0053226,Psychological Drama
0053226,Tragic Romance
0053226,Drama
0053226,Romance
0052027,Adventure Epic
0052027,Epic
0052027,Quest
0052027,Sea Adventure
0052027,Adventure
0052027,Drama
0052427,Classic Musical
0052427,Family
0052427,Fantasy
0052427,Musical
0051825,Animation
0051825,Comedy
0051825,Family
0051825,Fantasy
0051825,Short
0052389,Documentary
0052389,Family
0052852,Documentary
0052852,Short
0051339,Documentary
0051339,Short
0051677,Documentary
0051677,Short
0052618,Adventure Epic
0052618,Epic
0052618,Period Drama
0052618,Sword &amp; Sandal
0052618,Adventure
0052618,Drama
0053291,Buddy Comedy
0053291,Farce
0053291,Romantic Comedy
0053291,Satire
0053291,Screwball Comedy
0053291,Comedy
0053291,Music
0053291,Romance
0053172,Screwball Comedy
0053172,Comedy
0053172,Romance
0052738,Docudrama
0052738,Biography
0052738,Drama
0052738,Family
0052738,History
0052738,War
0053146,Jukebox Musical
0053146,Tragedy
0053146,Drama
0053146,Musical
0053146,Romance
0052896,Comedy
0052896,Drama
0053182,Drama
0053182,Musical
0053182,Romance
0053268,Documentary
0053080,Animation
0053080,Comedy
0053080,Family
0053080,Short
0052855,Short
0054331,Adventure Epic
0054331,Epic
0054331,Historical Epic
0054331,Sword &amp; Sandal
0054331,War Epic
0054331,Adventure
0054331,Biography
0054331,Drama
0054331,History
0053604,Farce
0053604,Holiday Comedy
0053604,Holiday Romance
0053604,Romantic Comedy
0053604,Comedy
0053604,Drama
0053604,Holiday
0053604,Romance
0053779,Satire
0053779,Comedy
0053779,Drama
0054387,Dystopian Sci-Fi
0054387,Quest
0054387,Steampunk
0054387,Time Travel
0054387,Adventure
0054387,Romance
0054387,Sci-Fi
0054387,Thriller
0053804,Political Drama
0053804,Sword &amp; Sandal
0053804,Action
0053804,Drama
0053804,War
0054195,Coming-of-Age
0054195,Period Drama
