id,ime
0275897,Betty Field
0593192,Cameron Mitchell
0896533,Charles Vidor
0536167,Anna Magnani
0667542,Marisa Pavan
0428354,Jennifer Jones
0857147,Torin Thatcher
0454771,Henry King
0485871,Otto Lang
0002017,Richard Conte
0001229,Glenn Ford
0662223,Eleanor Parker
0000549,Roger Moore
0076779,Curtis Bernhardt
0000305,Mel Blanc
0292677,Stan Freberg
0293989,Friz Freleng
0467311,David Kossoff
0060023,Alfie Bass
1593196,Alf Dean
0002338,Jack Clayton
0616139,Anthony Muto
0000989,Yul Brynner
0001369,Rock Hudson
0207219,Brenda de Banzie
0000057,David Niven
0134594,Cantinflas
0192958,Finlay Currie
0027183,Michael Anderson
0268513,John Farrow
0001549,Rita Moreno
0232019,James Donald
0000002,Lauren Bacall
0821041,Robert Stack
0802862,Douglas Sirk
0000056,Paul Newman
0000765,Pier Angeli
0806041,Everett Sloane
0936404,Robert Wise
0000006,Ingrid Bergman
0371040,Helen Hayes
0514822,Anatole Litvak
0483740,Pascal Lamorisse
0483741,Sabine Lamorisse
0783399,Georges Sellier
0483738,Albert Lamorisse
0002369,John Williams
0703689,Richard Quine
2191324,Frédéric Dumas
0265923,Albert Falco
0184150,Jacques-Yves Cousteau
0001501,Louis Malle
0712935,Michel Ray
0398409,Rodolfo Hoyos Jr.
0194597,Elsa Cárdenas
0710924,Irving Rapper
0124889,Daws Butler
0413640,Jay Jackson
1396670,Donald Campbell
1392147,Leo Villa
0435180,Konstantin Kalser
1410987,Merrell Gage
2258981,Edward Freed
0370144,Jack Hawkins
0673749,François Périer
0555807,Franca Marzi
0000053,Robert Mitchum
0432007,Curd Jürgens
0373314,David Hedison
0694090,Dick Powell
0001544,Ricardo Montalban
0654433,Patricia Owens
0940946,Joanne Woodward
0425913,Nunnally Johnson
0336576,Dolores Gray
0310989,Mitzi Gaynor
0447608,Kay Kendall
0000069,Frank Sinatra
0002022,Jeanne Crain
0580565,Burgess Meredith
0777812,Albert Schweitzer
0384377,Jerome Hill
0020942,Rex Allen
4295245,Marvin Glenn
0322673,Warner Glenn
0487047,Larry Lansburgh
0832845,Louis Clyde Stoumen
0106387,Rossano Brazzi
0449734,John Kerr
0004647,Carroll Baker
0000028,Rita Hayworth
0002001,Maurice Chevalier
0431139,Louis Jourdan
0000348,Tony Curtis
0001627,Sidney Poitier
0930209,Cara Williams
0006452,Stanley Kramer
0004244,Jacques Tati
0957645,Jean-Pierre Zola
0785792,Adrienne Servantie
0643000,Simon Oakland
0898782,Virginia Vincent
0002131,Laurence Harvey
0797531,Simone Signoret
0780765,Heather Sears
0668626,Felipe Pazos
0068772,Harry Bellaver
0836328,John Sturges
0848560,Russ Tamblyn
0861185,June Thorburn
0000634,Peter Sellers
0657162,George Pal
0845729,Volmer Sørensen
0351842,Bert Haanstra
0000963,Stephen Boyd
0000054,Marilyn Monroe
0000493,Jack Lemmon
0709704,Tony Randall
0674012,Millie Perkins
0771584,Joseph Schildkraut
0578039,Breno Mello
0206026,Marpessa Dawn
0210695,Lourdes de Oliveira
0133424,Marcel Camus
0000064,Edward G. Robinson
0199268,Dorothy Dandridge
0002035,Sammy Davis Jr.
0541149,Rouben Mamoulian
0344850,Bernhard Grzimek
0353397,Holger Hagen
1797689,Hermann Rockmann
0399526,Mark Hubley
0399523,Ray Hubley
7548185,Louis Paul
11246591,Gilbert Hugues
0537621,Jean-Marie Maillols
0005895,Edmond Séchan
0000059,Laurence Olivier
0000040,Stanley Kubrick
0000511,Shirley MacLaine
0534045,Fred MacMurray
0000052,Marcello Mastroianni
0001179,Anita Ekberg
0000733,Anouk Aimée
0001792,Rod Taylor
0949241,Alan Young
0590796,Yvette Mimieux
0001693,Eva Marie Saint
0001539,Hayley Mills
0250724,Richard Egan
0842582,David Swift
0001884,Max von Sydow
0883517,Birgitta Valberg
0511458,Gunnel Lindblom
0000005,Ingmar Bergman
0000047,Sophia Loren
0000901,Jean-Paul Belmondo
0885203,Raf Vallone
0001120,Vittorio De Sica
0447913,Arthur Kennedy
0112218,Richard Brooks
0279472,Eddie Fisher
0580479,Melina Mercouri
0202088,Jules Dassin
0288344,Giorgos Foundas
0001958,Dirk Bogarde
0001010,Capucine
0656180,Geneviève Page
0001362,Bob Hope
0000840,Lucille Ball
0404046,Ruth Hussey
0291035,Melvin Frank
0002145,Trevor Howard
0001777,Dean Stockwell
0384908,Wendy Hiller
0002153,Jack Cardiff
0271929,George Fenneman
9038517,Nautical the Horse
0703069,Queen Elizabeth the Queen Mother
2571935,Antonia Scalari
0545567,Giulio Marchetti
0384342,James Hill
0048441,Ezra R. Baker
0205366,Robert P. Davis
0000577,George Peppard
0623658,Patricia Neal
0001175,Blake Edwards
0496746,J. Lee Thompson
0000081,Natalie Wood
0001995,George Chakiris
0000937,Richard Beymer
0730385,Jerome Robbins
0001276,Jackie Gleason
0001453,Piper Laurie
0744035,Robert Rossen
0000886,Warren Beatty
0385757,Pat Hingle
0027683,Harriet Andersson
0085038,Gunnar Björnstrand
0733598,Daniela Rocca
0762248,Stefania Sandrelli
0314584,Pietro Germi
0415214,Roger Jacquet
0180103,Anne Cornaly
13786879,Anker-Spang Larsen
0257992,Robert Enrico
0904370,Dusan Vukotic
