id_filma,id_igralca,vloga
0048728,0484829,I
0048728,0000033,R
0048380,0000020,I
0048380,0000010,I
0048380,0001635,I
0048380,0000406,R
0048380,0503777,R
0048380,0517597,R
0048028,0000015,I
0048028,0557339,I
0048028,0364915,I
0048028,0001415,R
0048356,0000308,I
0048356,0086198,I
0048356,0591034,I
0048356,0542720,R
0048491,0000034,I
0048491,0001571,I
0048491,0275897,I
0048491,0517597,R
0048317,0000013,I
0048317,0000010,I
0048317,0593192,I
0048317,0896533,R
0048563,0536167,I
0048563,0000044,I
0048563,0667542,I
0048563,0542702,R
0048316,0000034,I
0048316,0428354,I
0048316,0857147,I
0048316,0454771,R
0048316,0485871,R
0048191,0001333,I
0048191,0002017,I
0048191,0000734,I
0048191,0542702,R
0048210,0001229,I
0048210,0662223,I
0048210,0000549,I
0048210,0076779,R
0048649,0000305,I
0048649,0292677,I
0048649,0293989,R
0049000,0467311,I
0049000,0060023,I
0049000,1593196,I
0049000,0002338,R
0048369,0382548,I
0048369,0382548,R
0048677,0616139,R
0049833,0000032,I
0049833,0000989,I
0049833,0000879,I
0049833,0001124,R
0049261,0000072,I
0049261,0001369,I
0049261,0000015,I
0049261,0828419,R
0049470,0000071,I
0049470,0000013,I
0049470,0207219,I
0049470,0000033,R
0048960,0000057,I
0048960,0134594,I
0048960,0192958,I
0048960,0027183,R
0048960,0268513,R
0049408,0000989,I
0049408,0000039,I
0049408,0001549,I
0049408,0485943,R
0049456,0000018,I
0049456,0000063,I
0049456,0232019,I
0049456,0591486,R
0049456,0002030,R
0049966,0001369,I
0049966,0000002,I
0049966,0821041,I
0049966,0802862,R
0049778,0000056,I
0049778,0000765,I
0049778,0806041,I
0049778,0936404,R
0048947,0000006,I
0048947,0000989,I
0048947,0371040,I
0048947,0514822,R
0048980,0483740,I
0048980,0483741,I
0048980,0783399,I
0048980,0483738,R
0049777,0391062,I
0049777,0002369,I
0049777,0007222,I
0049777,0703689,R
0049518,2191324,I
0049518,0265923,I
0049518,0184150,I
0049518,0184150,R
0049518,0001501,R
0049030,0712935,I
0049030,0398409,I
0049030,0194597,I
0049030,0710924,R
0049510,0000822,I
0049510,0124889,I
0049510,0122319,R
0049102,0413640,I
0049102,1396670,I
0049102,1392147,I
0049102,0435180,R
0048049,1410987,I
0048049,2258981,R
0050212,0000034,I
0050212,0000027,I
0050212,0370144,I
0050212,0000180,R
0050783,0556399,I
0050783,0673749,I
0050783,0555807,I
0050783,0000019,R
0050356,0000053,I
0050356,0432007,I
0050356,0373314,I
0050356,0694090,R
0050933,0000008,I
0050933,0001544,I
0050933,0654433,I
0050933,0517597,R
0051077,0940946,I
0051077,0915536,I
0051077,0002011,I
0051077,0425913,R
0050306,0000060,I
0050306,0000002,I
0050306,0336576,I
0050306,0591486,R
0050631,0000037,I
0050631,0310989,I
0050631,0447608,I
0050631,0002030,R
0050569,0000069,I
0050569,0310989,I
0050569,0002022,I
0050569,0896533,R
0050194,0000305,I
0050194,0293989,R
0050109,0580565,I
0050109,0545298,I
0050109,0777812,I
0050109,0384377,R
0051187,0020942,I
0051187,4295245,I
0051187,0322673,I
0051187,0487047,R
0049885,0557339,I
0049885,0832845,R
0052225,0106387,I
0052225,0310989,I
0052225,0449734,I
0052225,0517597,R
0051411,0000060,I
0051411,0001739,I
0051411,0004647,I
0051411,0943758,R
0052182,0000028,I
0052182,0000039,I
0052182,0000057,I
0052182,0542720,R
0051658,0001989,I
0051658,0002001,I
0051658,0431139,I
0051658,0591486,R
0051658,0910199,R
0051525,0000348,I
0051525,0001627,I
0051525,0930209,I
0051525,0006452,R
0050706,0004244,I
0050706,0957645,I
0050706,0785792,I
0050706,0004244,R
0051758,0001333,I
0051758,0643000,I
0051758,0898782,I
0051758,0936404,R
0053226,0002131,I
0053226,0797531,I
0053226,0780765,I
0053226,0002338,R
0052027,0000075,I
0052027,0668626,I
0052027,0068772,I
0052027,0836328,R
0052027,0003593,R
0052427,0848560,I
0052427,0861185,I
0052427,0000634,I
0052427,0657162,R
0051825,0000305,I
0051825,0293989,R
0052389,0382548,I
0052389,0845729,I
0052389,0019282,R
0052852,0351842,R
0051339,0789313,R
0051677,0019282,R
0052618,0000032,I
0052618,0370144,I
0052618,0000963,I
0052618,0943758,R
0053291,0000054,I
0053291,0000348,I
0053291,0000493,I
0053291,0000697,R
0053172,0001369,I
0053172,0000013,I
0053172,0709704,I
0053172,0330456,R
0052738,0674012,I
0052738,0001859,I
0052738,0771584,I
0052738,0828419,R
0053146,0578039,I
0053146,0206026,I
0053146,0210695,I
0053146,0133424,R
0052896,0000069,I
0052896,0000064,I
0052896,0662223,I
0052896,0001008,R
0053182,0001627,I
0053182,0199268,I
0053182,0002035,I
0053182,0695937,R
0053182,0541149,R
0053268,0344850,I
