id,ime
0947379,David Yelland
0070987,Yves Beneyton
0399853,Hugh Hudson
0001545,Dudley Moore
0591485,Liza Minnelli
0280242,Geraldine Fitzgerald
0251708,Jill Eikenberry
0254634,Stephen Elliott
0743874,Ted Ross
0551949,Barney Martin
0053856,Thomas Barbour
0211408,Anne DeSalvo
0055694,Marjorie Barnes
0262715,Dillon Evans
0178641,Maurice Copeland
0425474,Justine Johnston
0898728,Paul Vincent
0389934,Mary Alan Hokanson
0322339,Paul Gleason
0813902,Phyllis Somerville
0330619,Steve Gordon
0349776,Bertil Guve
0021655,Pernilla Allwin
0012358,Kristina Adolphson
0014062,Börje Ahlstedt
0021910,Kristian Almgren
0082599,Carl Billquist
0246920,Axel Düberg
0249735,Allan Edwall
0259001,Siv Ericks
0297083,Ewa Fröling
0350737,Patricia Gélin
0335176,Majlis Granlund
0335177,Maria Granlund
0902369,Eva von Hanno
0373213,Sonya Hedenbratt
0383914,Olle Hilding
0392331,Svea Holst
0474649,Jarl Kulle
0000005,Ingmar Bergman
0001426,Ben Kingsley
0368990,Rohini Hattangadi
0786022,Roshan Seth
0000298,Candice Bergen
0002081,Edward Fox
0002145,Trevor Howard
0590055,John Mills
0000640,Martin Sheen
0356847,Günther Maria Halmer
0297538,Athol Fugard
0006762,Saeed Jaffrey
0416524,Geraldine James
0655589,Alyque Padamsee
0700869,Amrish Puri
0000846,Ian Bannen
0117188,Michael Bryant
0000277,Richard Attenborough
0001794,Henry Thomas
0000106,Drew Barrymore
0001075,Peter Coyote
0908914,Dee Wallace
0534085,Robert MacNaughton
0551502,K.C. Martel
0296892,Sean Frye
0001367,C. Thomas Howell
0000143,Erika Eleniak
1056761,David M. O&#x27;Dell
0842721,Richard Swingler
0869324,Frank Toth
0059240,Robert Barton
2060736,Michael Darrell
0075500,David Berkson
0137315,David Carlberg
0463100,Milt Kogan
0483932,Alexander Lampone
0000493,Jack Lemmon
0563039,Melanie Mayron
0790291,John Shea
0162541,Charles Cioffi
0166359,David Clennon
0893390,Richard Venture
0362222,Jerry Hardin
0103071,Richard Bradford
0005344,Joe Regalbuto
0843775,Keith Szarabajka
0233233,John Doolittle
0750023,Janice Rule
0182626,Ward Costello
0746525,Hansford Rowe
0739589,Tina Romero
0489425,Martin LaSalle
0002020,Costa-Gavras
0000267,Julie Andrews
0001258,James Garner
0696481,Robert Preston
0000690,Lesley Ann Warren
0440090,Alex Karras
0823174,Graham Stark
0036170,Peter Arne
1229791,Herb Tanney
0730425,Michael Robbins
0151259,Norman Chancer
0304564,David Gant
0153093,Maria Charles
1369407,Malcolm Jamieson
0143942,John Cassady
0856784,Mike Tezcan
0328676,Christopher Good
0316702,Matyelok Gibbs
0001175,Blake Edwards
0000658,Meryl Streep
0000177,Kevin Kline
0001493,Peter MacNicol
0439334,Rita Karin
0628273,Stephen D. Newman
0877186,Greta Turken
0609215,Josh Mostel
0742409,Marcell Rosenblatt
0742558,Moishe Rosenfeld
0000862,Robin Bartlett
0513468,Eugene Lipinski
0745232,John Rothman
0502494,Joseph Leon
0937387,David Wohl
0688834,Nina Polan
0802925,Alexander Sirotin
0196849,Armand Dahan
0181324,Cortez Nance Jr.
0001587,Alan J. Pakula
0000163,Dustin Hoffman
0001448,Jessica Lange
0000414,Teri Garr
0001164,Charles Durning
0000195,Bill Murray
0001628,Sydney Pollack
0310960,George Gaynes
0000133,Geena Davis
0067497,Doris Belack
0284129,Ellen Foley
0309832,Peter Gatto
0858106,Lynne Thigpen
0777531,Ronald L. Schwary
0600717,Debra Mooney
2743638,Amy Lawrence
0801660,Kenny Sinclair
0581518,Susan Merson
0000072,Elizabeth Taylor
0000080,Orson Welles
0927622,Simon Wiesenthal
0150196,Neville Chamberlain
0161476,Winston Churchill
0252032,Dwight D. Eisenhower
0324305,Joseph Goebbels
0351425,Hermann Göring
0381523,Rudolf Hess
0385441,Heinrich Himmler
0386944,Adolf Hitler
0582474,Ralph Metcalfe
0651844,Martinus Osendarp
0654389,Jesse Owens
0691068,Pope Pius XII
0740483,Franklin D. Roosevelt
0902861,Joachim von Ribbentrop
2807447,Erich Borchmeyer
0777510,Arnold Schwartzman
0000152,Richard Gere
0000700,Debra Winger
0001418,David Keith
0005162,Robert Loggia
0089408,Lisa Blount
0002060,Lisa Eilbacher
0001283,Louis Gossett Jr.
0686470,Tony Plana
0843221,Harold Sylvester
0000325,David Caruso
0294229,Victor French
0951471,Grace Zabriskie
0676964,Tommy Petersen
0779967,Mara Scott-Wood
1491267,David Greenfield
0748497,Dennis Rucker
0928113,Jane Wilbur
0919681,Buck Welcher
0000431,Taylor Hackford
0000154,Mel Gibson
0000244,Sigourney Weaver
0001373,Linda Hunt
0734368,Bembol Roco
0484770,Domingo Landicho
0208772,Hermino De Guzman
0614526,Michael Murphy
0274817,Noel Ferrier
0814358,Paul Sonkkila
0638148,Ali Nur
1455689,Dominador Robridillo
0013178,Joel Agona
0256635,Mike Emperio
0618708,Bernardo Nacilla
0449652,Bill Kerr
0544878,Coco Marantha
0496545,Kuh Ledesma
0879639,Norma Uatuhan
0001837,Peter Weir
0273888,Antonio Ferrandis
0664661,Encarna Paso
0126960,José Bódalo
0328020,Agustín González
0398436,Pablo Hoyos
0273312,Marta Fernández Muro
1468030,Pablo del Hoyo
0749899,Pedro Ruiz
12110771,Manuel Vega-Arango
0127596,Alfonso Cabeza
5310956,Antonio Maceda
0305054,José Luis Garci
0789970,Sebastian Shaw
0001519,Ian McDiarmid
0000469,James Earl Jones
0672190,Michael Pennington
0141816,Michael Carter
0493200,Denis Lawson
0741714,Tim Rose
0549658,Richard Marquand
0001731,Sam Shepard
0001277,Scott Glenn
0000438,Ed Harris
0000598,Dennis Quaid
0911542,Fred Ward
0001347,Barbara Hershey
0822535,Kim Stanley
0001021,Veronica Cartwright
0715622,Pamela Reed
0667182,Scott Paulin
0290869,Charles Frank
0000448,Lance Henriksen
0595567,Donald Moffat
0221044,Mary Jo Deschanel
0934113,Scott Wilson
0000834,Kathy Baker
0188371,Mickey Crocker
0442241,Philip Kaufman
0000511,Shirley MacLaine
0000362,Danny DeVito
0001099,Jeff Daniels
0001475,John Lithgow
0140906,Lisa Hart Carroll
0454487,Betty King
0289030,Huckleberry Fox
0003609,Troy Bishop
0785873,Shane Serwin
0606797,Megan Morris
0947046,Tara Yeakey
0071960,Norman Bennett
0430778,Jennifer Josey
0153183,Kate Charleson
0917419,Tom Wees
0579960,Paul Menzel
0000985,James L. Brooks
0000380,Robert Duvall
0002128,Tess Harper
0000990,Betty Buckley
0000979,Wilford Brimley
0000289,Ellen Barkin
0399141,Allan Hubbard
0902188,Lenny von Dohlen
0185611,Michael Crabtree
0391275,Andrew Scott Hollon
0615236,Rick Murray
0298596,Stephen Funchess
0281678,Glen Fleming
0007462,James Aaron
0081847,Jerry Biggs
0083442,Sheila Bird
0085581,Robert E. Blackburn III
0000915,Bruce Beresford
0000659,Barbra Streisand
0001388,Amy Irving
0001597,Mandy Patinkin
0675490,Nehemiah Persoff
0384696,Steven Hill
0179680,Allan Corduner
0330962,Ruth Goring
0209095,David de Keyser
0817287,Bernard Spear
0544140,Doreen Mantle
0056271,Lynda Baron
0528695,Jack Lynn
0879271,Anna Tzelniker
0546816,Miriam Margolyes
0377931,Mary Henry
0055964,Robbie Barnett
0780766,Ian Sears
0048449,Frank Baker
0195073,Jacques d&#x27;Amboise
0172423,Judy Collins
1659054,Tom McCaffrey
0635852,Lee Norris
0049422,George Balanchine
0195070,Carolyn d&#x27;Amboise
0195072,Christopher d&#x27;Amboise
0251733,Janet Eilber
0270732,Joshua Feinman
1716832,Todd Fredericks
0312916,Peter Gennaro
0729234,Chita Rivera
0922667,Alexander Westerman
0001915,Emile Ardolino
0000884,Jennifer Beals
0636694,Michael Nouri
0803785,Lilia Skala
1230879,Sunny Johnson
0373600,Kyle T. Heffner
