id_igralca,id_filma,vloga
0000434,0080684,I
0000148,0080684,I
0000402,0080684,I
0001850,0080684,I
0000355,0080684,I
0001190,0080684,I
0562679,0080684,I
0048652,0080684,I
0000568,0080684,I
0000027,0080684,I
0120116,0080684,I
0391197,0080684,I
0701023,0080684,I
0916088,0080684,I
0720890,0080684,I
0171829,0080684,I
0002103,0080684,I
0790410,0080684,I
0449984,0080684,R
0000134,0081398,I
0001550,0081398,I
0000582,0081398,I
0898634,0081398,I
0170225,0081398,I
0757854,0081398,I
0002869,0081398,I
0012376,0081398,I
0095114,0081398,I
0867666,0081398,I
0281349,0081398,I
0778737,0081398,I
0242988,0081398,I
0360545,0081398,I
1631599,0081398,I
0160696,0081398,I
0020300,0081398,I
0026718,0081398,I
0000217,0081398,R
0018079,0079579,I
0060692,0079579,I
0613655,0079579,I
0268945,0079579,I
0752925,0079579,I
0810672,0079579,I
0890588,0079579,I
0891347,0079579,I
0845867,0079579,I
0451355,0079579,I
0462496,0079579,I
0881554,0079579,I
0299540,0079579,I
0015253,0079579,I
0465450,0079579,I
0667394,0079579,I
0810550,0079579,I
0950881,0079579,I
0579828,0079579,R
0000661,0081283,I
0001546,0081283,I
0002139,0081283,I
0000459,0081283,I
0001826,0081283,I
0001527,0081283,I
0001503,0081283,I
0499791,0081283,I
0797725,0081283,I
0388819,0081283,I
0714793,0081283,I
0182582,0081283,I
0612778,0081283,I
0399169,0081283,I
0000284,0081283,I
0926026,0081283,I
0230346,0081283,I
0228521,0081283,I
0000602,0081283,R
0000651,0080549,I
0000169,0080549,I
0375629,0080549,I
0101992,0080549,I
0026286,0080549,I
0225417,0080549,I
0566685,0080549,I
0566687,0080549,I
0759467,0080549,I
0761836,0080549,I
0524282,0080549,I
0666338,0080549,I
0912184,0080549,I
2071142,0080549,I
0000350,0080549,I
0253853,0080549,I
0360272,0080549,I
0875616,0080549,I
0000776,0080549,R
0494432,0081150,I
0001673,0081150,I
0156187,0081150,I
0005460,0081150,I
0852118,0081150,I
0241594,0081150,I
0689488,0081150,I
0302113,0081150,I
0096908,0081150,I
0123652,0081150,I
0183256,0081150,I
0047061,0081150,I
0454820,0081150,I
0458710,0081150,I
0859578,0081150,I
0002108,0081150,I
0399828,0081150,I
0725894,0081150,I
0001129,0081150,R
0058532,0080716,I
0001011,0080716,I
0001087,0080716,I
0212847,0080716,I
0289900,0080716,I
0301305,0080716,I
0353831,0080716,I
0400955,0080716,I
0409481,0080716,I
0005204,0080716,I
0575198,0080716,I
0581008,0080716,I
0587944,0080716,I
0600490,0080716,I
0712833,0080716,I
0853808,0080716,I
0000739,0080716,I
0001938,0080716,I
0000570,0080716,R
0000148,0082971,I
0000261,0082971,I
0293550,0082971,I
0722636,0082971,I
0479951,0082971,I
0001186,0082971,I
0000547,0082971,I
0434759,0082971,I
0001891,0082971,I
0846004,0082971,I
0271514,0082971,I
0393853,0082971,I
0717810,0082971,I
0814885,0082971,I
0244190,0082971,I
0780321,0082971,I
0915912,0082971,I
0129640,0082971,I
0000229,0082971,R
0001970,0082736,I
0126569,0082736,I
0417370,0082736,I
0388744,0082736,I
0190691,0082736,I
0027984,0082736,I
0101823,0082736,I
0361950,0082736,I
0538217,0082736,I
0457248,0082736,I
0084450,0082736,I
0525763,0082736,I
0126553,0082736,I
0379796,0082736,I
0475049,0082736,I
0890221,0082736,I
0464694,0082736,I
0312654,0082736,I
0843640,0082736,R
0000031,0082846,I
0000020,0082846,I
0000404,0082846,I
0571630,0082846,I
0001056,0082846,I
0487140,0082846,I
0753068,0082846,I
0004949,0082846,I
0041932,0082846,R
0622544,0082010,I
0000256,0082010,I
0067643,0082010,I
0001162,0082010,I
0774516,0082010,I
0323093,0082010,I
0443343,0082010,I
0562201,0082010,I
0048917,0082010,I
0752761,0082010,I
0203586,0082010,I
0940892,0082010,I
0000568,0082010,I
0571743,0082010,I
0447166,0082010,I
0272817,0082010,I
0608553,0082010,I
0001345,0082010,I
0000484,0082010,R
0569239,0082484,I
0000579,0082484,I
0252832,0082484,I
0001044,0082484,I
0777229,0082484,I
1874510,0082484,I
0094958,0082484,I
0454338,0082484,I
0771391,0082484,I
0318633,0082484,I
0280092,0082484,I
0143823,0082484,I
0254590,0082484,I
0496690,0082484,I
0492195,0082484,I
0083641,0082484,I
0070195,0082484,I
0100205,0082484,I
0000269,0082484,R
0000886,0082979,I
0000473,0082979,I
0001346,0082979,I
0467085,0082979,I
0000197,0082979,I
0000649,0082979,I
