id,naslov,leto,ocena,oznaka,cas,opis,cena,zasluzek
0087553,Polja smrti,1984,7.8,R,141,"A journalist is trapped in Cambodia during tyrant Pol Pot&apos;s bloody &apos;Year Zero&apos; cleansing campaign, which claimed the lives of two million &apos;undesirable&apos; civilians.",14400000,34700291
0087469,Indiana Jones in tempelj smrti,1984,7.5,PG,118,"In 1935, Indiana Jones is tasked by Indian villagers with reclaiming a rock stolen from them by a secret cult beneath the catacombs of an ancient palace.",28000000,333107271
0087921,Places in the Heart,1984,7.4,PG,111,"In central Texas in the 1930s, a widow with two small children tries to save her small 40-acre farm with the help of a blind boarder and an itinerant black handyman.",,34901614
0087892,A Passage to India,1984,7.3,PG,164,"Cultural mistrust and false accusations doom a friendship in British colonial India between an Indian doctor, an Englishwoman engaged to marry a city magistrate, and an English educator.",16000000,27201487
0087144,La diagonale du fou,1984,6.7,,110,"During the Cold War, the World Chess Championship clashed complete opposites - personal and political.",,2500000
0087957,Purple Rain,1984,6.5,R,111,"A young musician, tormented by an abusive situation at home, must contend with a rival singer, a burgeoning romance, and his own dissatisfied band, as his star begins to rise.",7000000,70264522
0088007,Reka,1984,6.3,PG-13,124,"A farming family battles severe storms, while taking a valiant stand against a bank foreclosure and a powerful land grabber.",18000000,11489982
0088414,The Woman in Red,1984,5.9,PG-13,87,"On his way to work, Teddy spots Charlotte, an incredibly beautiful Woman in Red. He really wants to meet her, but what would his wife say?",9000000,25349388
0088763,Vrnitev v prihodnost,1985,8.5,PG,116,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",19000000,384577472
0089881,Ran,1985,8.2,R,160,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",11500000,4166319
0089276,La historia oficial,1985,7.7,Not Rated,112,"During the final months of Argentinian Military Dictatorship in 1983, a high school teacher sets out to find out who the mother of her adopted daughter is.",,69832
0090329,Prica,1985,7.4,R,112,"While protecting an Amish boy - who is the sole witness to a brutal murder - and his mother, a detective is forced to seek refuge within their community when his own life is threatened.",12000000,68706993
0090203,The Trip to Bountiful,1985,7.4,PG,108,"In 1940s Texas, an elderly woman is determined to visit her childhood home one last time.",,7491903
0089424,Kiss of the Spider Woman,1985,7.3,R,120,A gay man and a political prisoner are together in a prison. The gay man narrates the stories of two fake movies and his own life.,,17009654
0089560,Mask,1985,7.2,PG-13,120,A teenager with a massive facial skull deformity and biker gang mother attempt to live as normal a life as possible under the circumstances.,8000000,48230162
0091867,Soba z razgledom,1985,7.2,Not Rated,117,"Lucy Honeychurch (Helena Bonham Carter) shares a brief romance with George Emerson in Florence. Yet as she tries to move on with her life and look for marriage elsewhere, can she truly forget the events of that summer?",3000000,21043507
0089755,Moja Afrika,1985,7.1,PG,161,"In 20th-century colonial Kenya, a Danish baroness/plantation owner has a passionate love affair with a free-spirited big-game hunter.",31000000,227514205
0088740,Artie Shaw: Time Is All You&#x27;ve Got,1985,7.0,,114,"Documentary cataloging the life and music of the band leader and clarinetist, Artie Shaw.",250000,
0088933,Cocoon,1985,6.7,PG-13,117,"When a group of trespassing seniors swim in a pool containing alien cocoons, they find themselves energized with youthful vigor.",17500000,85313124
0089841,Cast Prizzijev,1985,6.7,R,130,Two professional assassins fall in love.,16000000,26657534
0088857,Broken Rainbow,1985,6.7,,70,"Documentary chronicling the government relocation of 10,000 Navajo Indians in Arizona.",,
0090319,White Nights,1985,6.6,PG-13,136,"A Russian American ballet dancer&apos;s airplane is forced to land in USSR, where he&apos;s &quot;repatriated&quot;. He stays with an American man married to a Russian. Will the American help him flee USSR?",20000000,42160849
0090605,Osmi potnik 2,1986,8.4,R,137,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",18500000,131060248
0091763,Vod smrti,1986,8.1,R,120,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",6000000,138545632
0091167,Hannah in njeni sestri,1986,7.8,PG-13,107,"Between two Thanksgivings two years apart, Hannah&apos;s husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.",6400000,40084041
0091064,Muha,1986,7.6,R,96,A brilliant but eccentric scientist begins to transform into a giant man/fly hybrid after one of his experiments goes horribly wrong.,15000000,60629159
0091530,The Mission,1986,7.4,PG,125,Eighteenth-century Spanish Jesuits try to protect a remote South American tribe in danger of falling under the rule of pro-slavery Portugal.,24500000,17503446
0090557,&#x27;Round Midnight,1986,7.4,R,133,"A troubled, but talented musician flees the US to escape his problems, finding refuge and support in Paris.",3000000,3272593
0090830,Children of a Lesser God,1986,7.2,R,119,"A new speech teacher at a school for the deaf falls in love with the janitor, a deaf woman speechless by choice.",10500000,31853080
